,timestamp,agent_num,mean_q_loss,mean_exp_return
4781,1739120811,2,tensor(0.5160),82.9091
4782,1739120811,0,tensor(0.6085),60.637466
4783,1739120811,1,tensor(1.4068),72.080925
4784,1739120812,2,tensor(2.3223),66.47001
4785,1739120812,0,tensor(1.2498),79.004425
4786,1739120812,1,tensor(0.9919),61.472717
4787,1739120812,2,tensor(1.0880),111.48833
4788,1739120813,0,tensor(3.0915),76.08697
4789,1739120813,1,tensor(2.6494),121.74492
4790,1739120813,2,tensor(2.9174),65.503555
4791,1739120814,0,tensor(0.6708),109.11354
4792,1739120814,1,tensor(0.5506),75.12851
4793,1739120814,2,tensor(0.4098),32.119587
4794,1739120815,0,tensor(1.4254),91.912155
4795,1739120815,1,tensor(1.2490),70.819695
4796,1739120815,2,tensor(2.2878),80.28175
4797,1739120815,0,tensor(0.9413),78.42807
4798,1739120816,1,tensor(1.5372),73.47943
4799,1739120816,2,tensor(1.0451),44.195976
4800,1739120816,0,tensor(0.2035),121.52273
4801,1739120816,1,tensor(0.1891),85.58387
4802,1739120817,2,tensor(0.2005),81.58556
4803,1739120817,0,tensor(0.8391),84.40143
4804,1739120817,1,tensor(1.8447),66.020325
4805,1739120817,2,tensor(0.8433),88.84218
4806,1739120818,0,tensor(0.8900),102.152084
4807,1739120818,1,tensor(0.7525),73.52899
4808,1739120818,2,tensor(0.7543),108.488594
4809,1739120819,0,tensor(1.0561),87.53819
4810,1739120819,1,tensor(1.2020),93.42136
4811,1739120819,2,tensor(1.0637),71.327484
4812,1739120819,0,tensor(1.6755),64.79479
4813,1739120820,1,tensor(0.5063),54.973923
4814,1739120820,2,tensor(0.7993),74.9724
4815,1739120820,0,tensor(2.2907),94.4853
4816,1739120820,1,tensor(2.3310),114.954636
4817,1739120821,2,tensor(2.2498),71.573044
4818,1739120821,0,tensor(0.7948),69.64726
4819,1739120821,1,tensor(1.3797),63.22804
4820,1739120821,2,tensor(0.6061),71.21025
4821,1739120822,0,tensor(0.5114),87.02429
4822,1739120822,1,tensor(0.5291),71.083496
4823,1739120822,2,tensor(0.8462),74.09036
4824,1739120823,0,tensor(1.6334),76.7263
4825,1739120823,1,tensor(1.3164),95.31093
4826,1739120823,2,tensor(1.3395),118.85594
4827,1739120823,0,tensor(0.9174),70.75906
4828,1739120824,1,tensor(0.9818),78.64067
4829,1739120824,2,tensor(0.9147),82.36907
4830,1739120824,0,tensor(0.5884),97.761406
4831,1739120825,1,tensor(0.4787),60.54684
4832,1739120825,2,tensor(0.1304),89.31357
4833,1739120825,0,tensor(1.0784),124.673546
4834,1739120826,1,tensor(1.1703),87.772064
4835,1739120826,2,tensor(1.4828),88.68387
4836,1739120826,0,tensor(3.2603),109.03517
4837,1739120827,1,tensor(2.0185),62.544132
4838,1739120827,2,tensor(1.6115),119.51645
4839,1739120827,0,tensor(0.3878),60.010906
4840,1739120828,1,tensor(0.3310),83.95024
4841,1739120828,2,tensor(0.4309),94.49996
4842,1739120828,0,tensor(1.2854),130.3373
4843,1739120828,1,tensor(1.3773),100.51437
4844,1739120829,2,tensor(1.3973),102.068214
4845,1739120829,0,tensor(0.5368),112.38029
4846,1739120829,1,tensor(1.4881),97.980225
4847,1739120830,2,tensor(0.2696),84.6596
4848,1739120830,0,tensor(0.4876),60.860035
4849,1739120830,1,tensor(0.4119),64.96117
4850,1739120830,2,tensor(0.6663),52.32826
4851,1739120831,0,tensor(0.7270),64.33198
4852,1739120831,1,tensor(0.7325),53.502922
