,step,agent_num,mean_q_loss,mean_exp_return
478,169,1,3.9013872,13.318126
479,169,2,2.5544171,14.096171
480,170,0,18.365942,13.4904995
481,170,1,3.872244,11.768256
482,170,2,3.0692534,11.70429
483,171,0,8.952966,12.786919
484,171,1,11.498964,11.420012
485,171,2,22.55008,14.496156
486,172,0,7.184068,14.864355
487,172,1,2.8818798,11.972149
488,172,2,5.9881,13.412622
489,173,0,12.614578,12.272587
490,173,1,7.935258,11.521274
491,173,2,3.3392801,15.1230955
492,174,0,3.5822008,14.848294
493,174,1,7.203307,12.152519
494,174,2,6.005377,11.525845
495,175,0,3.565576,12.544618
496,175,1,5.6212873,15.253533
497,175,2,4.402627,10.613183
498,176,0,3.06285,10.168049
499,176,1,8.291776,15.708969
500,176,2,3.6213484,14.570204
501,177,0,5.417181,13.976174
502,177,1,3.0484786,13.92286
503,177,2,5.2017856,13.070299
504,178,0,7.7976065,12.591371
505,178,1,17.616035,10.3942795
506,178,2,3.3866873,13.57511
507,179,0,9.080138,8.944533
508,179,1,6.3278856,13.599401
509,179,2,4.08152,12.339577
510,180,0,4.042233,13.407701
511,180,1,3.8860185,12.551771
512,180,2,12.053458,14.294808
513,181,0,4.176731,13.153799
514,181,1,4.395021,13.436712
515,181,2,8.077717,12.192185
516,182,0,12.784718,16.583231
517,182,1,6.3392467,17.030268
518,182,2,4.75446,12.692149
519,183,0,4.0320835,15.238624
520,183,1,4.0509987,13.141734
521,183,2,7.881483,12.729623
522,184,0,13.006824,10.954512
523,184,1,10.019419,12.849522
524,184,2,8.275545,13.640064
525,185,0,3.2346306,12.939802
526,185,1,7.5329165,13.03898
527,185,2,3.4550264,15.263318
528,186,0,3.76012,14.137504
529,186,1,4.1232853,12.287944
530,186,2,3.884101,15.216843
531,187,0,3.6513228,13.668466
532,187,1,3.452745,15.776719
533,187,2,3.6494823,11.498878
534,188,0,6.01616,15.869715
535,188,1,3.642719,11.25001
536,188,2,13.564396,13.580306
537,189,0,17.595646,18.964672
538,189,1,3.6946583,17.652897
539,189,2,6.072277,18.158726
540,190,0,5.3445935,16.354984
541,190,1,3.142631,15.895397
542,190,2,25.029282,11.126013
543,191,0,9.635767,13.539665
544,191,1,3.4909687,14.842696
545,191,2,5.146333,9.1038475
546,192,0,5.124366,10.084519
547,192,1,6.54488,15.924775
548,192,2,5.8856993,16.295654
549,193,0,4.1251364,13.235747
550,193,1,3.3449976,15.14694
551,193,2,4.2686405,13.342791
552,194,0,15.475803,15.694707
553,194,1,11.101865,13.428773
554,194,2,5.11914,12.657345
555,195,0,3.5695093,11.150897
556,195,1,4.5610137,13.0919
557,195,2,3.3666844,12.251213
558,196,0,3.93539,11.495175
559,196,1,23.47292,13.530351
560,196,2,3.1887984,16.302542
561,197,0,3.9192703,13.837971
562,197,1,4.7861185,13.559366
563,197,2,6.133658,14.326726
564,198,0,2.4803665,11.2928295
565,198,1,2.237494,16.434038
566,198,2,2.4959254,10.874229
567,199,0,3.7581868,11.91314
568,199,1,4.1791763,14.179825
569,199,2,4.0468755,13.813221
570,200,0,6.8628907,12.434101
571,200,1,28.459154,7.7822456
572,200,2,4.0508747,14.792447
573,201,0,4.7787533,14.078329
574,201,1,16.123186,12.714921
575,201,2,3.415236,14.927123
576,202,0,2.946397,16.238232
577,202,1,18.41283,13.537186
578,202,2,2.8151927,16.796656
579,203,0,13.351217,13.448216
580,203,1,5.4779634,13.168288
581,203,2,5.731155,14.385868
582,204,0,3.2084508,13.438364
583,204,1,7.147934,15.912789
584,204,2,7.9127655,16.297596
585,205,0,12.229555,11.611679
586,205,1,5.1711874,12.667126
587,205,2,3.3286061,13.885053
588,206,0,2.6596804,20.52077
589,206,1,3.071729,17.302998
590,206,2,3.8002372,13.755256
591,207,0,5.9250717,12.764202
592,207,1,16.279629,14.142015
593,207,2,8.414262,16.271734
594,208,0,6.7372465,9.822862
595,208,1,7.0772448,14.226777
596,208,2,2.7751951,13.970294
597,209,0,5.354488,12.182369
598,209,1,7.1140094,13.3941555
599,209,2,3.8355963,10.989198
600,210,0,15.199519,14.113316
601,210,1,19.972803,9.832726
602,210,2,4.7533064,13.68305
603,211,0,2.9300456,12.70079
